Question,Answer,Category
What is Money Back Guarantee?,Money-back within 10-days of attending the internship if you feel that this internship isn't good and there is another one better than this at a lower price. Show us the other internship and we will give you the money back.,Fee-Offers-ReferralCashback
Is EMI Options Available?,Yes. EMI is available.,Fee-Offers-ReferralCashback
Who are indian and Abroad Students according to you? Do you have International Payment Option available?,"Any student studying in India and nationality Indian is an Indian Student. Every other student comes under 'Abroad'. Yes, you can pay in USD i.e. US Dollars ($)",Fee-Offers-ReferralCashback
Many other companies are providing similar internships,"We help students with cutting edge technologies by Experts from top Industry experts. Frankly speaking, no-one in India is providing such a detailed internship at the prices we’re offering. 
Also, we're making a promise, if you find an internship more detailed given with better services than ours and at a lower cost, we will refund your whole amount :) ",Fee-Offers-ReferralCashback
Is there any limit for Referrals?,"No, there is no limit both in terms of the number and amount of referrals. You can share with as many friends as you wish to.",Fee-Offers-ReferralCashback
What types of projects will I work on during my internship?,"After completion of every module (6-9 videos), you will be given one industry-related project on major concepts you have learned in that particular module.",Projects&Assignments
Is it compulsory to do the projects during the internship?,"Yes, it is compulsory to do the projects during the internship as the projects will be graded.",Projects&Assignments
How much time do I need to commit to the internship daily? How long does it take to complete the internship ?,"You will receive tutorial videos of 30-40 minutes every day.
If you have exams or other commitments and miss any video/ assignment you can attempt it later as per your ease because you will have access to the internship for 6 months.
Time to completion can vary based on your schedule, but most learners are able to complete it within the internship period itself.",TimeCommitment
I’m not sure about my college opening dates,"This internship is designed keeping in mind the uncertainties & exams around the academics.
All the sessions will be saved in your login panel for 6 months so you can watch them anytime as per your convenience. You can start the internship now. There will be regular doubt sessions and assignment reviews to ensure you don't miss out on anything.",TimeCommitment
"Due to this corona uncertainty, I am not sure when my college will reopen, how can I continue with my internship after that?","We understand the uncertainty due to Corona and for that, we have introduced a 60 days Course Pause feature. Through this, you can pause and extend your internship for up to 60 days and easily continue with your college and semester exams, even if the college reopens in between the internship.",TimeCommitment
At what time in the day will I get the Videos?,You will get the video at the start of the given day i.e. midnight 12:00 AM.,TimeCommitment
